query,category,engine,rank,recipe_id,recipe_name,score,relevant
chocolate cake,keyword,TF-IDF,1,391941,store bought chocolate cake and milk,0.37896525859832764,
chocolate cake,keyword,TF-IDF,2,4952,cake mix chocolate cookies,0.36394625902175903,
chocolate cake,keyword,TF-IDF,3,80473,miracle whip chocolate cake,0.34872177243232727,
chocolate cake,keyword,TF-IDF,4,125687,sunflower centerpiece,0.3309163451194763,
chocolate cake,keyword,TF-IDF,5,309543,reese s cup chocolate cake,0.32952791452407837,
chocolate cake,keyword,Embeddings,1,218428,the ultimate fudgy chocolate cake of love,0.6524818539619446,
chocolate cake,keyword,Embeddings,2,55753,heavenly chocolate cake,0.6173456311225891,
chocolate cake,keyword,Embeddings,3,388754,ultra moist chocolate cake,0.6097103357315063,
chocolate cake,keyword,Embeddings,4,219221,best ever chocolate cake   heritage recipe,0.6069025993347168,
chocolate cake,keyword,Embeddings,5,99061,chocolate thunder cake,0.601784348487854,
chicken soup,keyword,TF-IDF,1,15063,my own lazy day recipe   chicken noodle soup,0.29249104857444763,
chicken soup,keyword,TF-IDF,2,41397,super simple and speedy chicken soup,0.28760412335395813,
chicken soup,keyword,TF-IDF,3,216002,eggs   chicken soup,0.2853425145149231,
chicken soup,keyword,TF-IDF,4,452150,tammy s chicken soup,0.27768847346305847,
chicken soup,keyword,TF-IDF,5,87915,hash browns chicken soup,0.2725537121295929,
chicken soup,keyword,Embeddings,1,41397,super simple and speedy chicken soup,0.6952041983604431,
chicken soup,keyword,Embeddings,2,264884,easy chicken and veggie soup,0.6647611856460571,
chicken soup,keyword,Embeddings,3,381521,baked chicken soup,0.653860867023468,
chicken soup,keyword,Embeddings,4,490518,asian chicken soup,0.6501660346984863,
chicken soup,keyword,Embeddings,5,32516,grandma s old world german chicken soup   dumplings,0.6500719785690308,
pasta carbonara,keyword,TF-IDF,1,152634,josh s sort of carbonara or cheesy bacon pasta,0.26495200395584106,
pasta carbonara,keyword,TF-IDF,2,150064,light fettuccine carbonara,0.2308330088853836,
pasta carbonara,keyword,TF-IDF,3,118102,carbonara sauce,0.2300414890050888,
pasta carbonara,keyword,TF-IDF,4,351138,jamie olivers pasta carbonara,0.22107301652431488,
pasta carbonara,keyword,TF-IDF,5,344744,awesome spaghetti carbonara w  chicken,0.2129932940006256,
pasta carbonara,keyword,Embeddings,1,30451,my fake pasta carbonara,0.6664313673973083,
pasta carbonara,keyword,Embeddings,2,151088,carbonara al franco,0.6626185178756714,
pasta carbonara,keyword,Embeddings,3,178462,spaghetti a la carbonara,0.6587562561035156,
pasta carbonara,keyword,Embeddings,4,498987,carbonara miner s daughter,0.6333796977996826,
pasta carbonara,keyword,Embeddings,5,286031,carbonara,0.6291539669036865,
banana bread,keyword,TF-IDF,1,447563,lynne s banana bread,0.3677457869052887,
