query,category,engine,rank,recipe_id,recipe_name,score,relevant
chocolate cake,keyword,TF-IDF,1,391941,store bought chocolate cake and milk,0.37896525859832764,1
chocolate cake,keyword,Embeddings,1,218428,the ultimate fudgy chocolate cake of love,0.6444300413131714,1
chocolate cake,keyword,TF-IDF,2,4952,cake mix chocolate cookies,0.36394625902175903,0
chocolate cake,keyword,Embeddings,2,308211,best ever chocolate cake   recipe,0.6268442273139954,1
chocolate cake,keyword,TF-IDF,3,80473,miracle whip chocolate cake,0.34872177243232727,1
chocolate cake,keyword,Embeddings,3,58223,cookies and cream cake,0.6258347034454346,0
chocolate cake,keyword,TF-IDF,4,125687,sunflower centerpiece,0.3309163451194763,0
chocolate cake,keyword,Embeddings,4,99061,chocolate thunder cake,0.6128908395767212,1
chocolate cake,keyword,TF-IDF,5,309543,reese s cup chocolate cake,0.32952791452407837,1
chocolate cake,keyword,Embeddings,5,55753,heavenly chocolate cake,0.6097496747970581,1
chicken soup,keyword,TF-IDF,1,15063,my own lazy day recipe   chicken noodle soup,0.29249104857444763,1
chicken soup,keyword,Embeddings,1,41397,super simple and speedy chicken soup,0.6959067583084106,1
chicken soup,keyword,TF-IDF,2,41397,super simple and speedy chicken soup,0.28760412335395813,1
chicken soup,keyword,Embeddings,2,297229,chicken soup to die for,0.679916501045227,1
chicken soup,keyword,TF-IDF,3,216002,eggs   chicken soup,0.2853425145149231,1
chicken soup,keyword,Embeddings,3,381521,baked chicken soup,0.6691259145736694,1
chicken soup,keyword,TF-IDF,4,452150,tammy s chicken soup,0.27768847346305847,1
chicken soup,keyword,Embeddings,4,264884,easy chicken and veggie soup,0.6647611856460571,1
chicken soup,keyword,TF-IDF,5,87915,hash browns chicken soup,0.2725537121295929,1
chicken soup,keyword,Embeddings,5,8583,wedding soup,0.6637627482414246,0
pasta carbonara,keyword,TF-IDF,1,152634,josh s sort of carbonara or cheesy bacon pasta,0.26495200395584106,1
pasta carbonara,keyword,Embeddings,1,286031,carbonara,0.6972448825836182,1
pasta carbonara,keyword,TF-IDF,2,150064,light fettuccine carbonara,0.2308330088853836,1
pasta carbonara,keyword,Embeddings,2,30451,my fake pasta carbonara,0.6960532665252686,1
pasta carbonara,keyword,TF-IDF,3,118102,carbonara sauce,0.2300414890050888,1
pasta carbonara,keyword,Embeddings,3,112066,pasta alla carbonara,0.6627813577651978,1
pasta carbonara,keyword,TF-IDF,4,351138,jamie olivers pasta carbonara,0.22107301652431488,1
pasta carbonara,keyword,Embeddings,4,151088,carbonara al franco,0.6626185774803162,1
pasta carbonara,keyword,TF-IDF,5,344744,awesome spaghetti carbonara w  chicken,0.2129932940006256,1
pasta carbonara,keyword,Embeddings,5,351138,jamie olivers pasta carbonara,0.6587750911712646,1
banana bread,keyword,TF-IDF,1,447563,lynne s banana bread,0.3677457869052887,1
banana bread,keyword,Embeddings,1,509130,mr  foods banana bread best banana bread ever,0.737236738204956,1
banana bread,keyword,TF-IDF,2,382651,healthy wheat banana bread,0.3641892075538635,1
banana bread,keyword,Embeddings,2,311552,joyce s unbeatable banana bread,0.7260638475418091,1
banana bread,keyword,TF-IDF,3,138866,dora benston s pioneer banana bread,0.362201452255249,1
banana bread,keyword,Embeddings,3,430478,deliciously simple banana bread,0.7166303396224976,1
banana bread,keyword,TF-IDF,4,91733,banana bread bread pudding,0.34821149706840515,1
banana bread,keyword,Embeddings,4,23507,best healthy banana bread,0.7153204083442688,1
banana bread,keyword,TF-IDF,5,260923,granny frazier s banana bread,0.33993518352508545,1
banana bread,keyword,Embeddings,5,319415,best banana bread recipe,0.7094783186912537,1
grilled salmon,keyword,TF-IDF,1,51955,honey bourbon salmon,0.3906606435775757,1
grilled salmon,keyword,Embeddings,1,115390,best grilled salmon,0.7039055824279785,1
grilled salmon,keyword,TF-IDF,2,307777,whiskey sauce for grilled salmon,0.378129780292511,0
grilled salmon,keyword,Embeddings,2,143508,grilled salmon with vegetables,0.701322078704834,1
grilled salmon,keyword,TF-IDF,3,181774,salmon with creamy horseradish sauce,0.3737245202064514,1
grilled salmon,keyword,Embeddings,3,95266,glazed grilled salmon,0.6840394735336304,1
grilled salmon,keyword,TF-IDF,4,22098,garlic lemon butter for grilled salmon,0.3733595013618469,0
